CONTIG_ID	LENGTH	START_NODE	END_NODE	NUM_KMERS	SEQUENCE
16	45	arero	eimon	40	arerorareyoudeceivedinwhatyoubelievecauseimon
10	43	andse	ybeim	38	andseewhatsbehindgotnowaytoproveitsomaybeim
17	40	askme	aking	35	askmetoliethenbegforforgivenessformaking
2	34	akeal	ousee	29	akealookinthemirrorandwhatdoyousee
15	27	ansol	above	22	ansolvethemlordheavensabove
14	21	ansee	andse	16	anseethroughthisandse
7	20	alpro	eople	15	alproblemssomepeople
18	20	askmy	taskm	15	askmyopiniondontaskm
6	17	allyo	human	12	allyoureonlyhuman
21	17	beiml	imonl	12	beimlyingbutimonl
41	17	eople	cksom	12	eopleoutoflucksom
20	16	beimf	maybe	11	beimfoolishmaybe
19	15	beimb	hinki	10	beimblindthinki
60	14	ntput	blame	9	ntputyourblame
36	13	egott	ealpr	8	egottherealpr
0	11	above	monly	6	aboveimonly
3	11	aking	oucry	6	akingyoucry
39	11	eonme	akeal	6	eonmetakeal
49	11	hinki	gican	6	hinkingican
59	11	ntput	hebla	6	ntputthebla
4	10	alldo	ntput	5	alldontput
38	10	eonme	somep	5	eonmesomep
42	10	eople	think	5	eoplethink
35	9	eeitc	clear	4	eeitclear
37	9	eonme	edont	4	eonmedont
40	9	eople	egott	4	eoplegott
48	9	hinki	icans	4	hinkicans
1	8	after	erall	3	afterall
5	8	allim	imonl	3	allimonl
26	8	clear	arero	3	clearero
27	8	cryca	cause	3	crycause
28	8	cryma	makin	3	crymakin
50	8	human	anaft	3	humanaft
51	8	human	anhum	3	humanhum
52	8	human	animo	3	humanimo
53	8	human	anmay	3	humanmay
58	8	monly	lyimo	3	monlyimo
63	8	ousee	eedoy	3	ouseedoy
64	8	ousee	eeitc	3	ouseeitc
8	7	ameon	eonme	2	ameonme
9	7	anaft	after	2	anafter
11	7	anhum	human	2	anhuman
12	7	animo	imonl	2	animonl
13	7	anmay	maybe	2	anmaybe
22	7	blame	ameon	2	blameon
25	7	cksom	somep	2	cksomep
43	7	erall	alldo	2	eralldo
44	7	erall	allim	2	erallim
45	7	erall	allyo	2	erallyo
56	7	lyimo	imonl	2	lyimonl
61	7	oucry	cryca	2	oucryca
62	7	oucry	cryma	2	oucryma
23	6	canse	ansee	1	cansee
24	6	canso	ansol	1	cansol
29	6	ealpr	alpro	1	ealpro
30	6	eblam	blame	1	eblame
31	6	edont	donta	1	edonta
32	6	edont	dontp	1	edontp
33	6	edoyo	doyou	1	edoyou
34	6	eedoy	edoyo	1	eedoyo
46	6	gican	icans	1	gicans
47	6	hebla	eblam	1	heblam
54	6	icans	canse	1	icanse
55	6	icans	canso	1	icanso
57	6	monly	onlyh	1	monlyh
65	6	taskm	askme	1	taskme
66	6	taskm	askmy	1	taskmy
67	6	ybeim	beimb	1	ybeimb
68	6	ybeim	beimf	1	ybeimf
69	6	ybeim	beiml	1	ybeiml
